Name,Pclass,Survived,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
Miss. Asuncion Duran y More,2,1,female,27,1,0,13.8583
Mr. Washington Augustus II Roebling,1,0,male,31,0,0,50.4958
Mr. Philemon van Melkebeke,3,0,male,23,0,0,9.5
Master. Harold Theodor Johnson,3,1,male,4,1,1,11.1333
Mr. Cerin Balkic,3,0,male,26,0,0,7.8958
Mrs. Richard Leonard (Sallie Monypeny) Beckwith,1,1,female,47,1,1,52.5542
Mr. Frans Olof Carlsson,1,0,male,33,0,0,5
Mr. Victor Vander Cruyssen,3,0,male,47,0,0,9
Mrs. Samuel (Hannah Wizosky) Abelson,2,1,female,28,1,0,24
Miss. Adele Kiamie Najib,3,1,female,15,0,0,7.225
Mr. Alfred Ossian Gustafsson,3,0,male,20,0,0,9.8458
Mr. Nedelio Petroff,3,0,male,19,0,0,7.8958
Mr. Kristo Laleff,3,0,male,23,0,0,7.8958
Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,1,1,female,56,0,1,83.1583
Mrs. William (Imanita Parrish Hall) Shelley,2,1,female,25,0,1,26
Mr. Johann Markun,3,0,male,33,0,0,7.8958
Miss. Gerda Ulrika Dahlberg,3,0,female,22,0,0,10.5167
Mr. Frederick James Banfield,2,0,male,28,0,0,10.5
Mr. Henry Jr Sutehall,3,0,male,25,0,0,7.05
Mrs. William (Margaret Norton) Rice,3,0,female,39,0,5,29.125
Rev. Juozas Montvila,2,0,male,27,0,0,13
Miss. Margaret Edith Graham,1,1,female,19,0,0,30
Miss. Catherine Helen Johnston,3,0,female,7,1,2,23.45
Mr. Karl Howell Behr,1,1,male,26,0,0,30
Mr. Patrick Dooley,3,0,male,32,0,0,7.75
